Model,Organism,Subsystem,Frac_RXNS,Frac_TICs
STM_v1_0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,"Alanine, Aspartate, and Glutamate Metabolism",0.0384615384615385,0.0175438596491228
STM_v1_0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,"Alternate Carbon Metabolism",0.115384615384615,0.0350877192982456
STM_v1_0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,"Cofactor and Prosthetic Group Biosynthesis",0.0384615384615385,0.0175438596491228
STM_v1_0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,"Glycolysis and Gluconeogenesis",0.0384615384615385,0.0175438596491228
STM_v1_0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,"Inorganic Ion Transport and Metabolism",0.0961538461538462,0.228070175438596
STM_v1_0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,"Nucleotide Salvage Pathway",0.0576923076923077,0.0175438596491228
STM_v1_0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,"Transport",0.0384615384615385,0.157894736842105
STM_v1_0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,"Transport Inner Membrane",0.5,0.421052631578947
STM_v1_0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,"Transport Outer Membrane",0.0192307692307692,0.0175438596491228
STM_v1_0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,"Transport Outer Membrane Porin",0.0384615384615385,0.0526315789473684
STM_v1_0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,"Valine Leucine and Isoleucine Metabolism",0.0192307692307692,0.0175438596491228
e_coli_core,Escherichia coli str. K-12 substr. MG1655,"Oxidative Phosphorylation",1,1
iAB_RBC_283,Homo sapiens,"Carnitine shuttle",0.555555555555556,0.5
iAB_RBC_283,Homo sapiens,"Fatty Acid  Biosynthesis",0.111111111111111,0.166666666666667
iAB_RBC_283,Homo sapiens,"Galactose metabolism",0.333333333333333,0.333333333333333
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Alanine, Aspartate, and Glutamate Metabolism",0.0294117647058824,0.0151515151515152
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Alternate Carbon Metabolism",0.147058823529412,0.0909090909090909
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Amino acid metabolism: Valine, Leucine and Isoleucine biosynthesis",0.0147058823529412,0.0151515151515152
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Citrate cycle (TCA cycle)",0.0147058823529412,0.0151515151515152
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Cofactor and Prosthetic Group Biosynthesis",0.0294117647058824,0.0151515151515152
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Glycolysis and Gluconeogenesis",0.0882352941176471,0.0454545454545455
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Histidine Biosynthesis",0.0147058823529412,0.0454545454545455
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Inorganic Ion Transport and Metabolism",0.0441176470588235,0.181818181818182
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Membrane Lipid Metabolism",0.0294117647058824,0.0151515151515152
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Nucleotide Salvage Pathway",0.0441176470588235,0.0909090909090909
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Oxidative Phosphorylation",0.0147058823529412,0.0757575757575758
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Pyruvate Metabolism",0.0441176470588235,0.0454545454545455
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Transport Outer Membrane Porin",0.455882352941176,0.318181818181818
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Transport, ABC system",0.0147058823529412,0.0151515151515152
iAF1260,Escherichia coli str. K-12 substr. MG1655,"Transport, Outer Membrane",0.0147058823529412,0.0151515151515152
iAF692,Methanosarcina barkeri str. Fusaro,"Citrate cycle (TCA cycle)",0.0333333333333333,0.134615384615385
iAF692,Methanosarcina barkeri str. Fusaro,"Glutamate and glutamin metabolism",0.0666666666666667,0.0961538461538462
iAF692,Methanosarcina barkeri str. Fusaro,"Glycolysis and Gluconeogenesis",0.0666666666666667,0.134615384615385
