MeM,Threshold,model,TIC_Count
Fastcore,GL,E2199,4
Fastcore,GL,E2200,6
Fastcore,GL,E2201,4
Fastcore,GL,E2202,7
Fastcore,GL,E2203,1
Fastcore,GL,E2204,2
Fastcore,GL,E2205,0
Fastcore,GL,E2206,1
Fastcore,GL,E2207,0
Fastcore,GL,E2208,0
Fastcore,GL,E2209,3
Fastcore,GL,E2210,2
Fastcore,GL,E2211,2
Fastcore,GL,E2212,3
Fastcore,GL,E2213,3
Fastcore,GL,E2214,3
Fastcore,GL,E2215,3
Fastcore,GL,E2216,3
Fastcore,GL,E2217,3
Fastcore,GL,E2218,3
Fastcore,GL,E2219,3
Fastcore,GL,E2220,2
Fastcore,GL,E2221,2
Fastcore,GL,E2222,3
Fastcore,GL,E2223,1
Fastcore,GL,E2224,1
Fastcore,GL,E2225,3
Fastcore,GL,E2226,1
Fastcore,GL,E2227,1
Fastcore,GL,E2228,1
Fastcore,GL,E2229,1
Fastcore,GL,E2230,3
Fastcore,GL,E2231,1
Fastcore,GL,E2232,1
Fastcore,GL,E2233,1
Fastcore,GL,E2234,3
Fastcore,GL,E2235,1
Fastcore,GL,E2236,3
Fastcore,GL,E2237,3
Fastcore,GL,E2238,3
Fastcore,GL,E2239,5
Fastcore,GL,E2240,7
Fastcore,GL,E2241,6
Fastcore,GL,E2242,6
Fastcore,GL,E2243,6
Fastcore,GL,E2244,1
Fastcore,GL,E2245,1
Fastcore,GL,E2246,1
Fastcore,GL,E2247,1
Fastcore,GL,E2248,1
Fastcore,GL,E2249,1
Fastcore,GL,E2250,1
Fastcore,GL,E2251,1
Fastcore,GL,E2252,1
Fastcore,GL,E2253,1
Fastcore,GL,E2254,5
Fastcore,GL,E2255,2
Fastcore,GL,E2256,6
Fastcore,GL,E2257,6
Fastcore,GL,E2258,5
Fastcore,GL,E2259,3
Fastcore,GL,E2260,3
Fastcore,GL,E2261,4
Fastcore,GL,E2262,5
GIMME,GL,E2199,2
GIMME,GL,E2200,3
GIMME,GL,E2201,3
GIMME,GL,E2202,6
GIMME,GL,E2203,1
GIMME,GL,E2204,0
GIMME,GL,E2205,0
GIMME,GL,E2206,0
GIMME,GL,E2207,0
GIMME,GL,E2208,0
GIMME,GL,E2209,2
GIMME,GL,E2210,2
GIMME,GL,E2211,1
GIMME,GL,E2212,2
GIMME,GL,E2213,2
GIMME,GL,E2214,2
GIMME,GL,E2215,2
GIMME,GL,E2216,2
GIMME,GL,E2217,2
GIMME,GL,E2218,2
GIMME,GL,E2219,2
GIMME,GL,E2220,2
GIMME,GL,E2221,2
GIMME,GL,E2222,2
GIMME,GL,E2223,0
GIMME,GL,E2224,0
GIMME,GL,E2225,2
GIMME,GL,E2226,0
GIMME,GL,E2227,0
GIMME,GL,E2228,0
GIMME,GL,E2229,0
GIMME,GL,E2230,1
GIMME,GL,E2231,0
GIMME,GL,E2232,0
GIMME,GL,E2233,0
GIMME,GL,E2234,2
GIMME,GL,E2235,0
GIMME,GL,E2236,2
GIMME,GL,E2237,2
GIMME,GL,E2238,2
GIMME,GL,E2239,4
GIMME,GL,E2240,4
GIMME,GL,E2241,4
GIMME,GL,E2242,4
GIMME,GL,E2243,4
GIMME,GL,E2244,0
GIMME,GL,E2245,0
GIMME,GL,E2246,0
GIMME,GL,E2247,0
GIMME,GL,E2248,0
GIMME,GL,E2249,0
GIMME,GL,E2250,0
GIMME,GL,E2251,0
GIMME,GL,E2252,0
GIMME,GL,E2253,0
GIMME,GL,E2254,4
GIMME,GL,E2255,2
GIMME,GL,E2256,2
GIMME,GL,E2257,3
GIMME,GL,E2258,3
GIMME,GL,E2259,2
GIMME,GL,E2260,2
GIMME,GL,E2261,2
GIMME,GL,E2262,4
MBA,GL,E2199,1
MBA,GL,E2200,8
MBA,GL,E2201,26
MBA,GL,E2202,11
MBA,GL,E2203,1
MBA,GL,E2204,23
MBA,GL,E2205,12
MBA,GL,E2206,0
MBA,GL,E2207,0
MBA,GL,E2208,9
MBA,GL,E2209,3
MBA,GL,E2210,0
MBA,GL,E2211,0
MBA,GL,E2212,2
MBA,GL,E2213,2
MBA,GL,E2214,2
MBA,GL,E2215,2
MBA,GL,E2216,2
MBA,GL,E2217,3
MBA,GL,E2218,3
MBA,GL,E2219,2
MBA,GL,E2220,2
MBA,GL,E2221,2
MBA,GL,E2222,3
MBA,GL,E2223,0
MBA,GL,E2224,0
MBA,GL,E2225,2
MBA,GL,E2226,0
MBA,GL,E2227,0
MBA,GL,E2228,15
MBA,GL,E2229,5
MBA,GL,E2230,1
MBA,GL,E2231,0
MBA,GL,E2232,16
MBA,GL,E2233,4
MBA,GL,E2234,1
MBA,GL,E2235,1
MBA,GL,E2236,2
MBA,GL,E2237,2
MBA,GL,E2238,3
MBA,GL,E2239,6
MBA,GL,E2240,11
MBA,GL,E2241,5
MBA,GL,E2242,15
MBA,GL,E2243,15
MBA,GL,E2244,1
MBA,GL,E2245,0
MBA,GL,E2246,0
MBA,GL,E2247,1
MBA,GL,E2248,1
MBA,GL,E2249,0
MBA,GL,E2250,0
MBA,GL,E2251,1
MBA,GL,E2252,1
MBA,GL,E2253,1
MBA,GL,E2254,4
MBA,GL,E2255,3
MBA,GL,E2256,2
MBA,GL,E2257,2
MBA,GL,E2258,2
