tp,count
c1,16
b1,15
c1,12
b1,11
c1,12
b1,11
c1,11
b1,10
c1,11
b1,10
c1,16
b1,15
c1,14
b1,13
c1,14
b1,13
c1,6
b1,5
c1,6
b1,5
c1,16
b1,15
c1,9
b1,8
c1,9
b1,8
c1,16
b1,15
c1,13
b1,12
c1,13
b1,12
c1,16
b1,15
c1,16
b1,15
c1,6
b1,5
c1,6
b1,5
c1,16
b1,15
c1,8
b1,7
c1,8
b1,7
c1,16
b1,15
c1,9
b1,8
c1,9
b1,8
c1,16
b1,15
c1,15
b1,14
c1,13
b1,12
c1,13
b1,12
c1,15
b1,14
c1,13
b1,12
c1,13
b1,12
c1,11
b1,10
c1,11
b1,10
c1,15
b1,14
c1,15
b1,14
c1,8
b1,7
c1,8
b1,7
c1,15
b1,14
c1,7
b1,6
c1,7
b1,6
c1,15
b1,14
c1,10
b1,9
c1,10
b1,9
c1,15
b1,14
c1,11
b1,10
c1,11
b1,10
c1,9
b1,8
c1,9
b1,8
c1,11
b1,10
c1,6
b1,5
c1,6
b1,5
c1,6
b1,5
c1,5
b1,4
c1,5
b1,4
c1,6
b1,5
c1,6
b1,5
c1,4
b1,3
c1,4
b1,3
c1,4
b1,3
c1,4
b1,3
c1,4
b1,3
c2,34
b2,33
c2,34
b2,33
c2,30
b2,29
c2,30
b2,29
c2,29
b2,28
c2,29
b2,28
c2,25
b2,24
c2,25
b2,24
c2,34
b2,33
c2,29
b2,28
c2,29
b2,28
c2,25
b2,24
c2,25
b2,24
c2,34
b2,33
c2,30
b2,29
c2,30
b2,29
c2,29
b2,28
c2,29
b2,28
c2,26
b2,25
c2,26
b2,25
c2,34
b2,33
c2,28
b2,27
c2,28
b2,27
c2,27
b2,26
c2,27
b2,26
c2,25
b2,24
c2,25
b2,24
c2,34
b2,33
c2,25
b2,24
c2,25
b2,24
c2,23
b2,22
c2,23
b2,22
c2,34
b2,33
c2,19
b2,18
c2,19
b2,18
c2,34
b2,33
c2,27
b2,26
c2,27
b2,26
c2,34
b2,33
c2,26
b2,25
c2,26
b2,25
c2,25
b2,24
c2,25
b2,24
c2,34
b2,33
c2,29
b2,28
c2,29
b2,28
c2,28
b2,27
c2,28
b2,27
c2,26
b2,25
c2,26
b2,25
c2,34
b2,33
c2,22
b2,21
c2,22
b2,21
c2,34
b2,33
c2,23
b2,22
c2,23
b2,22
c2,34
b2,33
c2,23
b2,22
c2,23
b2,22
c2,34
b2,33
c2,26
b2,25
c2,26
b2,25
c2,34
b2,33
c2,20
b2,19
c2,15
b2,14
c2,15
b2,14
c2,20
b2,19
c2,20
b2,19
c2,16
b2,15
c2,16
b2,15
c2,13
b2,12
c2,13
b2,12
c2,16
b2,15
c2,11
b2,10
c2,7
b2,6
c2,7
b2,6
c2,11
b2,10
c2,8
b2,7
c2,8
b2,7
c2,11
b2,10
c2,6
b2,5
c2,6
b2,5
c2,11
b2,10
c2,7
b2,6
c2,7
b2,6
c2,11
b2,10
c2,5
b2,4
c2,5
b2,4
c2,11
b2,10
c2,8
b2,7
c2,8
b2,7
c2,11
b2,10
c2,11
b2,10
c2,10
b2,9
c2,10
b2,9
c2,10
b2,9
c2,8
b2,7
c2,8
b2,7
c2,7
b2,6
c2,7
b2,6
c2,10
b2,9
c2,10
b2,9
c2,9
b2,8
c2,9
b2,8
c2,9
b2,8
c2,8
b2,7
c2,8
b2,7
c2,9
b2,8
c2,9
b2,8
c2,4
b2,3
c2,4
b2,3
c2,4
b2,3
c2,4
b2,3
c2,4
b2,3
c3,63
b3,62
c3,51
b3,50
c3,51
b3,50
c3,49
b3,48
c3,49
b3,48
c3,46
b3,45
c3,46
b3,45
c3,63
b3,62
c3,54
b3,53
c3,54
b3,53
c3,53
b3,52
c3,53
b3,52
c3,50
b3,49
c3,50
b3,49
c3,63
b3,62
c3,46
b3,45
c3,46
b3,45
c3,63
b3,62
c3,38
b3,37
c3,38
b3,37
c3,63
b3,62
c3,63
b3,62
c3,50
b3,49
c3,48
b3,47
c3,48
b3,47
c3,36
b3,35
c3,36
b3,35
c3,50
b3,49
c3,43
b3,42
c3,43
b3,42
c3,32
b3,31
c3,32
b3,31
c3,50
b3,49
c3,39
b3,38
c3,39
b3,38
c3,50
b3,49
c3,27
