Gene,Essential
thrL,0
thrA,0
thrB,0
thrC,0
yaaX,0
yaaA,0
yaaJ,0
talB,0
mog,0
yaaH,0
yaaW,0
htgA,0
yaaI,0
dnaK,0
dnaJ,0
insL,0
hokC,0
nhaA,0
nhaR,0
insB,0
insA,0
rpsT,0
yaaY,0
ribF,1
ileS,0
lspA,1
fkpB,0
ispH,1
rihC,0
dapB,1
carA,0
carB,0
caiF,0
caiE,0
caiD,0
caiC,0
caiB,0
caiA,0
caiT,0
fixA,0
fixB,0
fixC,0
fixX,0
yaaU,0
kefF,0
kefC,0
folA,1
apaH,0
apaG,0
ksgA,0
pdxA,0
surA,0
imp,1
djlA,0
yabP,0
yabQ,1
rluA,0
hepA,0
polB,0
araD,0
araA,0
araB,0
araC,0
yabI,0
thiQ,0
thiP,0
tbpA,0
sgrR,0
setA,0
leuD,0
leuC,0
leuB,0
leuA,0
leuL,0
leuO,0
ilvI,0
ilvH,0
fruR,0
mraZ,0
mraW,0
ftsL,1
ftsI,1
murE,1
murF,1
mraY,1
murD,1
ftsW,1
murG,1
murC,1
ddlB,0
ftsQ,1
ftsA,1
ftsZ,1
lpxC,1
secM,1
secA,1
mutT,0
yacG,0
yacF,0
coaE,0
guaC,0
hofC,0
hofB,0
ppdD,0
nadC,0
ampD,0
ampE,0
aroP,0
pdhR,0
aceE,0
aceF,0
lpd,0
yacH,0
acnB,0
yacL,0
speD,0
speE,0
yacC,0
cueO,0
gcd,0
hpt,0
can,1
yadG,0
yadH,0
yadI,0
yadE,0
panD,0
yadD,0
panC,0
panB,0
yadC,0
yadK,0
yadL,0
yadM,0
htrE,0
ecpD,0
yadN,0
folK,1
pcnB,0
yadB,0
dksA,0
sfsA,0
ligT,0
hrpB,0
mrcB,0
fhuA,0
fhuC,0
fhuD,0
fhuB,0
hemL,1
clcA,0
yadR,1
yadS,0
btuF,0
pfs,0
dgt,0
degP,0
cdaR,0
yaeH,0
yaeI,0
dapD,1
glnD,0
map,1
rpsB,1
tsf,1
pyrH,1
frr,1
dxr,1
ispU,1
cdsA,1
yaeL,1
yaeT,1
hlpA,0
lpxD,1
fabZ,1
lpxA,1
lpxB,1
rnhB,0
dnaE,1
accA,1
ldcC,0
yaeR,0
tilS,1
rof,0
yaeP,0
yaeQ,0
yaeJ,0
nlpE,0
yaeF,0
proS,1
yaeB,0
rcsF,0
metQ,0
metI,0
metN,0
gmhB,0
dkgB,0
yafC,0
yafD,0
yafE,0
mltD,0
gloB,0
yafS,0
rnhA,0
dnaQ,0
yafT,0
yafU,0
yafF,1
yafV,0
ivy,0
fadE,0
lpcA,0
yafJ,0
yafK,0
yafQ,0
dinJ,0
yafL,0
yafM,0
fhiA,0
mbhA,0
dinB,0
yafN,0
yafO,0
yafP,0
ykfJ,0
prfH,0
pepD,0
gpt,0
frsA,0
crl,0
phoE,0
proB,0
proA,0
ykfI,0
yafW,0
ykfH,0
ykfG,0
yafX,0
ykfF,0
ykfB,0
yafY,0
yafZ,0
ykfA,0
perR,0
insN,0
insI,0
insO,0
ykfC,0
insH,0
mmuP,0
mmuM,0
afuC,0
afuB,0
insB,0
insA,0
ykgN,0
yagB,0
yagA,0
yagE,0
yagF,0
yagG,1
yagH,0
yagI,0
argF,0
insB,0
insA,0
yagJ,0
yagK,0
yagL,0
yagM,0
yagN,0
intF,0
yagP,0
yagQ,0
yagR,0
yagS,0
yagT,0
yagU,0
ykgJ,0
yagV,0
yagW,0
yagX,0
yagY,0
yagZ,0
ykgK,0
ykgL,0
ykgM,0
ykgM,0
eaeH,0
insE,0
insF,0
ykgA,0
ykgB,0
ykgI,0
ykgC,0
ykgD,0
ykgE,0
ykgF,0
ykgG,0
ykgH,0
betA,0
betB,0
betI,0
betT,0
yahA,0
yahB,0
yahC,0
yahD,0
yahE,0
